Travel(U_0, T_NAVIFIELD, M_M_2, M_Eq_0,L_2,(Path_NP1_2_B_Sym,0,5,1, -1, -1), Flag_Offset_5)
Travel(U_10, T_HOMOGENEOUS, M_M_NONE, M_Eq_0,L_4,(Path_NP1_2_1_2_H,0,1,5,0,4), Flag_Offset_4)

Travel(U_11, T_HOMOGENEOUS, M_M_8, M_Eq_0,L_4,(Path_NP2_1_2_1_C_Sym,0,4,5,3,2), Flag_Offset_1)
Travel(U_11, T_NAVIFIELD, M_M_8, M_Eq_0,L_4,(Path_NP1_2_1_2_H_Sym,0,5,1,0,2), Flag_Offset_5)
Travel(U_11, T_HOMOGENEOUS, M_M_2, M_Eq_0,L_4,(Path_NP1_2_1_2_B_Sym,0,5,3,4,2), Flag_Offset_4)
Travel(U_11, T_NAVIFIELD, M_M_2, M_Eq_0,L_4,(Path_NP1_2_1_2_D,0,1,3,4,0), Flag_Offset_3)
Travel(U_11, T_HOMOGENEOUS, M_M_4, M_Eq_0,L_4,(Path_NP1_2_1_2_B_Sym,0,5,3,4,2), Flag_Offset_4)
Travel(U_11, T_NAVIFIELD, M_M_4, M_Eq_0,L_4,(Path_NP2_1_2_1_A_Sym,0,4,5,1,2), Flag_Offset_1)
Travel(U_11, T_HOMOGENEOUS, M_M_8, M_Eq_0,L_2,(Path_NP2_1_A,0,2,1, -1, -1), Flag_Offset_0)
Travel(U_11, T_NAVIFIELD, M_M_8, M_Eq_0,L_2,(Path_NP2_1_A,0,2,1, -1, -1), Flag_Offset_0)
Travel(U_11, T_HOMOGENEOUS, M_M_2, M_Eq_0,L_2,(Path_NP2_1_B,0,2,3, -1, -1), Flag_Offset_1)
Travel(U_11, T_NAVIFIELD, M_M_2, M_Eq_0,L_2,(Path_NP1_2_A,0,1,3, -1, -1), Flag_Offset_3)
Travel(U_11, T_HOMOGENEOUS, M_M_4, M_Eq_0,L_2,(Path_NP2_1_A_Sym,0,4,5, -1, -1), Flag_Offset_1)
Travel(U_11, T_NAVIFIELD, M_M_4, M_Eq_0,L_2,(Path_NP2_1_A_Sym,0,4,5, -1, -1), Flag_Offset_2)
Travel(U_11, T_HOMOGENEOUS, M_M_NONE, M_Eq_0,L_4,(Path_NP1_2_1_2_F_Sym,0,5,1,2,0), Flag_Offset_5)
Travel(U_11, T_HOMOGENEOUS, M_M_NONE, M_Eq_0,L_2,(Path_NP1_2_B_Sym,0,5,1, -1, -1), Flag_Offset_5)

